tip,residual,distance,date,z
A-Beijing-01-2009|2009.370,-5.336169211108314e-4,9.3884361e-4,2009.37,-2.0436177860329816
A-New-York-1682-2009|2009.321,-5.169235378226561e-4,7.100049100000001e-4,2009.321,-1.9796863519889414
A-California-06-2009|2009.290,-4.8175453370175183e-4,5.898372899999999e-4,2009.29,-1.8449979650672317
A-New-York-3099-2009|2009.326,-4.656825320362932e-4,7.863002100000001e-4,2009.326,-1.7834462654091523
A-Shanghai-1-2009|2009.392,4.264854843507601e-4,0.00200918491,2009.392,1.6333314908563026
A-Guangdong-1-2009|2009.378,-4.1966239185196733e-4,0.00109288501,2009.378,-1.6072007730423803
A-Mexico-InDRE4487-2009|2009.285,-4.1485141948925333e-4,6.3168611e-4,2009.285,-1.5887759662201215
A-Netherlands-602-2009|2009.326,-3.852479320362932e-4,8.667348100000001e-4,2009.326,-1.4754020998863213
A-Narita-1-2009|2009.351,-3.6210750310220044e-4,0.00101514671,2009.351,-1.3867801123232204
A-Texas-09-2009|2009.315,3.525945152323412e-4,0.00154945781,2009.315,1.3503477758660292
A-Canada-NS-RV1535-2009|2009.312,-3.1902370823902064e-4,8.628070100000001e-4,2009.312,-1.2217800795489535
A-New-York-3190-2009|2009.326,3.0613056796370596e-4,0.0015581133099999993,2009.326,1.1724026146634674
A-Shandong-1-2009|2009.356,3.020446026853018e-4,0.00170435311,2009.356,1.1567544015245785
A-Canada-ON-RV1527-2009|2009.312,2.9597949176097903e-4,0.0014778102099999998,2009.312,1.133526561347759
A-Nonthaburi-102-2009|2009.348,2.647587734264378e-4,0.0016269804100000002,2009.348,1.013959109947651
A-Mexico-4486-2009|2009.285,-2.6021371947509904e-4,7.8632381e-4,2009.285,-0.9965527033552595
A-New-York-3172-2009|2009.321,2.508817621773436e-4,0.0014778102099999998,2009.321,0.9608136681828116
A-Osaka-C-1-2009|2009.373,-2.4348029763946965e-4,0.0012440128099999999,2009.373,-0.9324679318054789
A-New-York-3193-2009|2009.323,2.4086004449120518e-4,0.0014778102099999998,2009.323,0.9224330252538743
A-New-York-23-2009|2009.312,2.2268419176097858e-4,0.0014045149099999993,2009.312,0.8528241083580542
A-England-207-2009|2009.329,2.1479489143620743e-4,0.0014818102099999994,2009.329,0.8226100843546635
A-New-York-3214-2009|2009.315,2.086516152323407e-4,0.0014055149099999995,2009.315,0.7990828909354585
A-New-York-10-2009|2009.315,2.086516152323407e-4,0.0014055149099999995,2009.315,0.7990828909354585
A-New-York-3191-2009|2009.315,2.0765161523234057e-4,0.0014045149099999993,2009.315,0.7952531439668297
A-Zhejiang-1-2009|2009.392,2.0537058435075932e-4,0.0017880700099999992,2009.392,0.7865173728627463
A-Korea-01-2009|2009.334,-2.01574402777429e-4,0.0010904952100000002,2009.334,-0.7719789579899218
A-New-York-3187-2009|2009.332,2.0076231490756929e-4,0.0014828102099999994,2009.332,0.7688688669320668
A-New-York-3168-2009|2009.318,1.9261903870484187e-4,0.0014045149099999993,2009.318,0.7376821795799683
A-Michigan-02-2009|2009.318,1.860136387048428e-4,0.0013979095100000003,2009.318,0.7123851689533944
A-Texas-15-2009|2009.288,1.8276170398324763e-4,0.0012443318100000002,2009.288,0.6999310818111881
A-Hyogo-1-2009|2009.375,-1.772067153244686e-4,0.00132030811,2009.375,-0.6786568808344644
A-Mexico-47N-2009|2009.315,-1.7707468476765886e-4,0.00101978861,2009.315,-0.678151237209756
A-Osaka-1-2009|2009.373,-1.6818499763946934e-4,0.0013193081100000002,2009.373,-0.6441059848785181
A-New-York-3261-2009|2009.326,1.5353216796370616e-4,0.0014055149099999995,2009.326,0.5879893548459371
A-Sichuan-1-2009|2009.356,1.4793060268530187e-4,0.0015502391100000001,2009.356,0.5665367772013946
A-New-York-3232-2009|2009.329,1.3149959143620785e-4,0.0013985149099999998,2009.329,0.503610161678679
A-California-14-2009|2009.315,1.2936421523234082e-4,0.0013262275099999996,2009.315,0.4954322111350382
A-Paris-2580-2009|2009.329,-1.0008740856379185e-4,0.0011669279100000002,2009.329,-0.3833094495450456
A-New-York-3260-2009|2009.321,9.829906217734353e-5,0.0013252275099999997,2009.321,0.37646053539268765
A-Paris-2590-2009|2009.329,-9.806690856379197e-5,0.00116894841,2009.329,-0.37557144579493257
A-Hong-Kong-01-2009|2009.329,-9.680950856379188e-5,0.0011702058100000001,2009.329,-0.37075592195657897
A-Moscow-01-2009|2009.386,9.676523740689645e-5,0.0016493995099999997,2009.386,0.3705863746276609
A-New-York-3173-2009|2009.323,9.227734449120472e-5,0.0013292275099999994,2009.323,0.35339888033826206
A-Indiana-09-2009|2009.307,8.87941859734771e-5,0.00124557061,2009.307,0.34005926456374275
A-Guangdong-2-2009|2009.403,-7.970556291787515e-5,0.0015581133099999993,2009.403,-0.3052521379675459
A-Norway-1168-2009|2009.348,7.469687342643767e-5,0.00143691851,2009.348,0.2860701245709126
A-Beijing-3-2009|2009.384,-6.834084490810381e-5,0.0014742717100000003,2009.384,-0.26172814362030844
A-Fujian-1-2009|2009.389,6.67574608793975e-5,0.0016344243099999994,2009.389,0.25566418343619585
A-Mexico-4604-2009|2009.299,5.025925671461305e-5,0.0011669488100000001,2009.299,0.19248023604830158
A-Texas-04-2009|2009.285,-3.025691948925386e-5,0.00101628061,2009.285,-0.11587634569400103
